station_code, seoulmetro_code, external_code, station_name(kor),lat,lng
449,2721,719,중화,37.602545,127.079264
450,2722,720,상봉,37.596362,127.085032
451,2723,721,면목,37.588579,127.087503
452,2724,722,사가정,37.580894,127.088478
453,2725,723,용마산,37.573647,127.086727
454,2726,724,중곡,37.565923,127.084320
455,2727,725,군자,37.557121,127.079542
456,2728,726,어린이대공원,37.548014,127.074658
457,2729,727,건대입구,37.540693,127.070230
458,2730,728,뚝섬유원지,37.531540,127.066704
459,2731,729,청담,37.519365,127.053350
460,2732,730,강남구청,37.517186,127.041280
461,2733,731,학동,37.514229,127.031656
462,2734,732,논현,37.511093,127.021415
463,2735,733,반포,37.508178,127.011727
464,2736,734,고속터미널,37.504810,127.004943
465,2737,735,내방,37.487618,126.993513
466,2738,736,이수,37.486263,126.981989
467,2718,716,공릉,37.625742,127.072896
468,2739,737,남성,37.484596,126.971251
469,2740,738,숭실대입구,37.496029,126.953822
470,2741,739,상도,37.502834,126.947910
471,2742,740,장승배기,37.504898,126.939150
472,2743,741,신대방삼거리,37.499701,126.928276
473,2744,742,보라매,37.499872,126.920428
474,2745,743,신풍,37.500080,126.909930
475,2746,744,대림,37.492970,126.895801
476,2747,745,남구로,37.486056,126.887249
477,2748,746,가산디지털단지,37.481072,126.882343
478,2749,747,철산,37.476050,126.867911
479,2750,748,광명사거리,37.479252,126.854876
480,2751,749,천왕,37.486637,126.838713
481,2752,750,온수,37.492258,126.823388
482,2753,751,까치울,37.506207,126.810939
483,2754,752,부천종합운동장,37.505380,126.797337
484,2755,753,춘의,37.503663,126.787036
485,2756,754,신중동,37.503048,126.775960
486,2757,755,부천시청,37.504631,126.763538
487,2759,757,삼산체육관,37.506411,126.742153
488,2760,758,굴포천,37.506997,126.731280
489,2761,759,부평구청,37.508336,126.720548
490,2811,810,암사,37.550210,127.127562
491,2812,811,천호,37.538397,127.123572
492,2813,812,강동구청,37.530341,127.120508
493,2814,813,몽촌토성,37.517409,127.112359
494,2815,814,잠실,37.513950,127.102234
495,2816,815,석촌,37.505431,127.106979
496,2817,816,송파,37.499703,127.112183
497,2818,817,가락시장,37.492522,127.118234
498,2819,818,문정,37.485855,127.122500
499,2820,819,장지,37.478703,127.126191
500,2821,820,복정,37.470047,127.126662
501,2758,756,상동,37.505781,126.753083
502,2822,821,산성,37.457122,127.149908
503,2823,822,남한산성입구,37.451535,127.159816
504,2824,823,단대오거리,37.445210,127.156866
505,2825,824,신흥,37.440918,127.147564
506,2826,825,수진,37.437428,127.140722
507,2827,826,모란,37.432130,127.129087
508,3110,I110,계양,37.571462,126.735637
509,3111,I111,귤현,37.566379,126.742654
510,3112,I112,박촌,37.553703,126.745077
511,3113,I113,임학,37.545059,126.738665
512,3114,I114,계산,37.543238,126.728128
513,3115,I115,경인교대입구,37.538157,126.722597
514,3116,I116,작전,37.530415,126.722527
515,3117,I117,갈산,37.517268,126.721514
516,3118,I118,부평구청,37.508336,126.720548
517,3119,I119,부평시장,37.498383,126.722244
518,3120,I120,부평,37.489493,126.724805
519,3121,I121,동수,37.485312,126.718247
520,3122,I122,부평삼거리,37.477679,126.710208
521,3124,I124,인천시청,37.457405,126.702221
522,3125,I125,예술회관,37.449396,126.701012
523,3126,I126,인천터미널,37.442383,126.699706
524,3127,I127,문학경기장,37.434935,126.698579
525,3129,I129,신연수,37.418040,126.693863
526,3130,I130,원인재,37.412603,126.687389
527,3131,I131,동춘,37.404737,126.681015
528,3132,I132,동막,37.397878,126.674005
529,3133,I133,캠퍼스타운,37.387855,126.661673
530,3134,I134,테크노파크,37.382268,126.656365
531,3135,I135,지식정보단지,37.378384,126.645168
532,3136,I136,인천대입구,37.386007,126.639484
533,3137,I137,센트럴파크,37.393054,126.634729
534,3138,I138,국제업무지구,37.399907,126.630347
535,3203,I203,검단사거리,37.601850,126.657108
536,3204,I204,마전,37.597566,126.666998
537,3202,I202,왕길,37.595180,126.642696
538,3205,I205,완정,37.592928,126.673203
539,3206,I206,독정,37.585212,126.675844
540,3207,I207,검암,37.569104,126.673728
541,3208,I208,검바위,37.561405,126.677566
542,3210,I210,서구청,37.543742,126.676787
543,3211,I211,가정,37.524649,126.675539
544,3212,I212,가정중앙시장,37.517054,126.676672
545,3213,I213,석남,37.506193,126.676203
546,3214,I214,서부여성회관,37.506193,126.676203
547,3215,I215,인천가좌,37.489700,126.675208
548,3216,I216,가재울,37.484192,126.683673
549,3217,I217,주안국가산단,37.473703,126.681130
550,3218,I218,주안,37.464941,126.679923
551,3219,I219,시민공원,37.458335,126.681192
552,3220,I220,석바위시장,37.457611,126.692575
553,3221,I221,인천시청,37.457405,126.702221
554,3222,I222,석천사거리,37.456805,126.709986
555,3223,I223,모래내시장,37.455830,126.719298
556,3224,I224,만수,37.454911,126.732094
557,3226,I226,인천대공원,37.448769,126.752618
558,3227,I227,운연,37.440127,126.759970
559,4101,901,개화,37.578608,126.798153
560,4102,902,김포공항,37.562434,126.801058
561,4103,903,공항시장,37.563726,126.810678
562,4104,904,신방화,37.567532,126.816601
563,4105,905,마곡나루,37.567336,126.829497
564,4106,906,양천향교,37.568381,126.841333
565,4108,908,증미,37.557402,126.861939
566,4109,909,등촌,37.550632,126.865689
567,4110,910,염창,37.546936,126.874916
568,4111,911,신목동,37.544277,126.883080
569,4112,912,선유도,37.538020,126.893525
570,4113,913,당산,37.534380,126.902281
571,4114,914,국회의사당,37.528105,126.917874
572,4115,915,여의도,37.521624,126.924191
573,4116,916,샛강,37.517274,126.928422
574,4117,917,노량진,37.514219,126.942454
575,4118,918,노들,37.512887,126.953222
576,4119,919,흑석,37.508770,126.963708
577,4120,920,동작,37.502971,126.979306
578,4121,921,구반포,37.501364,126.987332
579,4122,922,신반포,37.503415,126.995925
580,4107,907,가양,37.561391,126.854456
581,4123,923,고속터미널,37.504810,127.004943
582,4124,924,사평,37.504206,127.015259
583,4125,925,신논현,37.504598,127.025060
584,4127,927,선정릉,37.510980,127.043593
585,4128,928,삼성중앙,37.513011,127.053282
586,4129,929,봉은사,37.514219,127.060245
587,4130,930,종합운동장,37.510997,127.073642
588,4131,931,삼전,37.5046809,127.0880994
589,4132,932,석촌고분,37.5046806,127.0815333
590,4133,933,석촌,37.505431,127.106979
591,4134,934,송파나루,37.5102409,127.1100425
592,4135,935,한성백제,37.516456,127.1140763
593,4136,936,올림픽공원,37.5163758,127.1284685
594,4137,937,둔촌오륜,37.519063,127.1368958
595,4138,938,중앙보훈병원,37.5268002,127.1454439
596,4201,A01,서울역,37.554648,126.972559
597,4202,A02,공덕,37.544018,126.951592
598,4203,A03,홍대입구,37.557192,126.925381
599,4204,A04,디지털미디어시티,37.576646,126.900984
600,4206,A042,마곡나루,37.5669356,126.8243724
601,4207,A05,김포공항,37.562434,126.801058
602,4208,A06,계양,37.571462,126.735637
603,4209,A07,검암,37.569104,126.673728
604,4210,A071,청라국제도시,37.555878,126.625327
605,4211,A08,운서,37.492904,126.493790
606,4309,D9,양재시민의숲,37.470023,127.038420
607,4311,D11,판교,37.394761,127.111217
608,4312,D12,정자,37.367060,127.108105
609,4313,D13,미금,37.350078,127.1067633
610,4314,D14,동천,37.337928,127.102976
611,4315,D15,수지구청,37.322702,127.095026
612,4316,D16,성복,37.313335,127.080100
613,4317,D17,상현,37.297664,127.069342
614,4318,D18,광교중앙,37.288617,127.051478
615,4319,D19,광교,37.302110,127.044483
616,4602,U111,회룡,37.724846,127.046895
617,4603,U112,범골,37.728755,127.043530
618,4604,U113,경전철의정부,37.737202,127.043257
619,4605,U114,의정부시청,37.739256,127.034781
620,4606,U115,흥선,37.743302,127.037023
621,4607,U117,의정부중앙,37.743676,127.049565
622,4608,U118,동오,37.745271,127.056947
623,4609,U119,새말,37.748885,127.063620
624,4610,U120,경기도청북부청사,37.750590,127.071495
625,4611,U121,효자,37.754025,127.076902
626,4612,U122,곤제,37.750471,127.083715
627,4613,U123,어룡,37.742802,127.085035
628,4212,A09,공항화물청사,37.458366,126.476241
629,4213,A10,인천공항1터미널,37.447464,126.452508
630,4215,A11,인천공항2터미널,37.4620299,126.4207979
631,4217,A072,영종,37.511466,126.523700
632,4307,D7,강남,37.497175,127.027926
633,4308,D8,양재,37.484147,127.034631
634,4502,Y111,강남대,37.270161,127.126033
635,4503,Y112,지석,37.269606,127.136515
636,4504,Y113,어정,37.274917,127.143714
637,4505,Y114,동백,37.269043,127.152716
638,4506,Y115,초당,37.260752,127.159443
639,4509,Y117,시청.용인대,37.239151,127.178406
640,4510,Y118,명지대,37.237964,127.190294
641,4511,Y119,김량장,37.237247,127.198781
642,4512,Y120,운동장.송담대,37.237845,127.209198
643,4513,Y121,고진,37.244840,127.214251
644,4514,Y123,보평,37.258965,127.218457
645,4515,Y125,둔전,37.267051,127.213640
646,4601,U110,발곡,37.727048,127.052803
